permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
/organization/coda-automotive,Coda Automotive,http://www.codaautomotive.com,|Clean Technology|, Clean Technology ,229000000.00,operating,USA,CA,Los Angeles,Los Angeles,5,1/1/09 0:00,2009-01,2009-Q1,2009,7/28/09 0:00,9/20/11 0:00
/organization/collegetonight,College Tonight,http://www.collegetonightinc.com,|Universities|Colleges|Networking|Mobile|, Networking ,2244500.00,closed,USA,CA,Los Angeles,Los Angeles,2,,,,,7/1/07 0:00,7/1/08 0:00
/organization/compumed,CompuMed,http://compumed.ning.com,,,120000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,4/7/10 0:00,4/7/10 0:00
/organization/coppertino,Coppertino,http://coppertino.com,|Music|Consumer Electronics|Mac|Software|, Software ,900000.00,operating,USA,CA,Los Angeles,Los Angeles,2,6/10/11 0:00,2011-06,2011-Q2,2011,8/26/13 0:00,4/17/14 0:00
/organization/coreobjects-software,CoreObjects Software,http://www.coreobjects.com,,,2000000.00,acquired,USA,CA,Los Angeles,Los Angeles,1,1/1/97 0:00,1997-01,1997-Q1,1997,7/1/09 0:00,7/1/09 0:00
/organization/creditping-com,CreditPing.com,http://www.creditping.com,|Startups|Credit Cards|Credit|Lead Generation|Curated Web|, Credit ,580000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/1/09 0:00,2009-10,2009-Q4,2009,9/1/09 0:00,9/1/09 0:00
/organization/crowdfunder,Crowdfunder,http://www.crowdfunder.com,|Venture Capital|Small and Medium Businesses|Startups|Crowdfunding|Finance|, Finance ,2500000.00,operating,USA,CA,Los Angeles,Los Angeles,3,12/5/11 0:00,2011-12,2011-Q4,2011,5/24/12 0:00,6/1/14 0:00
/organization/crowdsourcing-org,Crowdsourcing.org,http://crowdsourcing.org,|Social Media|Internet|Crowdfunding|Crowdsourcing|Finance|, Finance ,250000.00,operating,USA,CA,Los Angeles,Los Angeles,1,10/1/10 0:00,2010-10,2010-Q4,2010,7/1/13 0:00,7/1/13 0:00
/organization/crownpeak,CrownPeak,http://www.crownpeak.com,|Software|, Software ,12000000.00,operating,USA,CA,Los Angeles,Los Angeles,3,1/19/01 0:00,2001-01,2001-Q1,2001,3/29/06 0:00,9/22/10 0:00
/organization/crunchbutton,Crunchbutton,http://crunchbutton.com,|E-Commerce|, E-Commerce ,430000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/12 0:00,2012-01,2012-Q1,2012,4/1/13 0:00,4/1/13 0:00
/organization/cubicl,Cubicl,http://Cubicl.com,|Software|Web Tools|Mobile|iPhone|Blogging Platforms|MicroBlogging|File Sharing|Storage|Networking|Curated Web|, iPhone ,130000.00,closed,USA,CA,Los Angeles,Los Angeles,2,5/1/09 0:00,2009-05,2009-Q2,2009,7/1/09 0:00,3/1/10 0:00
/organization/culture-jam,Culture Jam,http://site.promojam.com,|Mobile|Analytics|Social Media Marketing|Software|, Mobile ,1700000.00,operating,USA,CA,Los Angeles,Los Angeles,2,7/1/08 0:00,2008-07,2008-Q3,2008,7/1/08 0:00,5/1/12 0:00
/organization/curacao,Curacao,http://icuracao.com,|E-Commerce|, E-Commerce ,15000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/78 0:00,1978-01,1978-Q1,1978,8/18/11 0:00,8/18/11 0:00
/organization/cuturia,Cuturia,http://www.cuturia.com,|Mobile|Fashion|, Mobile ,200000.00,closed,USA,CA,Los Angeles,Los Angeles,1,4/1/12 0:00,2012-04,2012-Q2,2012,3/1/12 0:00,3/1/12 0:00
/organization/cyber-interns,Cyber Interns,http://CyberInterns.com,|Media|Social Media|Freelancers|Consumer Electronics|Virtualization|Career Management|Curated Web|, Media ,50000.00,operating,USA,CA,Los Angeles,Los Angeles,1,1/31/11 0:00,2011-01,2011-Q1,2011,2/15/11 0:00,2/15/11 0:00
/organization/cyberdefender,CyberDefender,http://www.cyberdefendercorp.com,|IT and Cybersecurity|Security|, IT and Cybersecurity ,13210580.00,,USA,CA,Los Angeles,Los Angeles,7,1/1/03 0:00,2003-01,2003-Q1,2003,5/29/09 0:00,9/1/11 0:00
/organization/cytrx-corporation,CytRx,http://www.cytrx.com,,,86000000.00,operating,USA,CA,Los Angeles,Los Angeles,1,,,,,2/5/14 0:00,2/5/14 0:00
